Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
102	:	1689364775.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:102 > runtask.sh.102
103	:	1689364776.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:103 > runtask.sh.103
104	:	1689364777.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:104 > runtask.sh.104
101	:	1689364774.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:101 > runtask.sh.101
100	:	1689364773.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:100 > runtask.sh.100
106	:	1689364779.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:106 > runtask.sh.106
108	:	1689364781.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:108 > runtask.sh.108
105	:	1689364778.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:105 > runtask.sh.105
112	:	1689364785.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:112 > runtask.sh.112
109	:	1689364782.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:109 > runtask.sh.109
107	:	1689364780.000	    19.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:107 > runtask.sh.107
111	:	1689364784.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:111 > runtask.sh.111
110	:	1689364783.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:110 > runtask.sh.110
114	:	1689364787.000	    12.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:114 > runtask.sh.114
118	:	1689364791.000	    10.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:118 > runtask.sh.118
116	:	1689364789.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:116 > runtask.sh.116
117	:	1689364790.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:117 > runtask.sh.117
113	:	1689364786.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:113 > runtask.sh.113
115	:	1689364788.000	    17.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:115 > runtask.sh.115
122	:	1689364795.000	    11.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:122 > runtask.sh.122
119	:	1689364792.000	    14.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:119 > runtask.sh.119
120	:	1689364793.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:120 > runtask.sh.120
121	:	1689364794.000	    15.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:121 > runtask.sh.121
127	:	1689364800.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:127 > runtask.sh.127
128	:	1689364801.000	    13.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:128 > runtask.sh.128
125	:	1689364798.000	    16.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:125 > runtask.sh.125
124	:	1689364797.000	    19.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:124 > runtask.sh.124
123	:	1689364796.000	    21.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:123 > runtask.sh.123
126	:	1689364799.000	    18.000	0	0	0	0	srun --exclusive -N1 -n1 ./runtask.sh arg1:126 > runtask.sh.126
